manufacture,product_image,product_name,product_price,product_type
Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/906643/sahyog_wellness_heavy_duty_compressor_nebulizer_machine_kit_children_and_adult_white_0_0.jpg,Sahyog Wellness Heavy Duty Compressor Nebulizer Machine Kit (Children and Adult) - White,"Rs. 1,898.40",Surgical
Mfr: Becton Dickinson (I) Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/366518/bd_ultra_fine_40iu_31g_syringe_1_x_10_s_0.jpg,BD Ultra Fine 40IU/31G Syringe 1 x 10's,Rs. 84.55,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/826349/1mile_compact_piston_nebulizer_0.jpg,1Mile Compact Piston Nebulizer,"Rs. 2,400.00",Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/826344/1mile_examination_gloves_xs_100_s_0.jpg,1Mile Examination Gloves (XS) 100's,Rs. 850.00,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/826345/1mile_examination_gloves_s_100_s_0.jpg,1Mile Examination Gloves (S) 100's,Rs. 850.00,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/826347/1mile_examination_gloves_l_100_s_0.jpg,1Mile Examination Gloves (L) 100's,Rs. 850.00,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/826342/1mile_rigid_strapping_crepe_bandage_15_cm_0.jpg,1Mile Rigid Strapping Crepe Bandage 15 cm,Rs. 260.00,Surgical
Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/826339/1mile_rigid_strapping_crepe_bandage_6_cm_0.jpg,1Mile Rigid Strapping Crepe Bandage 6 cm,Rs. 120.00,Surgical
Mfr: Medisales India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/911864/medigree_protective_medical_coverall_0_0.jpg,Medigree Protective Medical Coverall,"Rs. 1,295.00",Surgical
Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/412152/3m_cavilon_no_sting_barrier_film_spray_28_ml_0_1.jpg,3M Cavilon No Sting Barrier Film Spray 28 ml,Rs. 848.82,Surgical
Mfr: Medipride,https://www.netmeds.com/images/product-v1/150x150/909103/soft_hands_non_sterile_medical_nitrile_examination_gloves_l_200s_0_0.jpg,Soft Hands Non Sterile Medical Nitrile Examination Gloves (L) 200's,"Rs. 1,296.00",Surgical
Mfr: Medipride,https://www.netmeds.com/images/product-v1/150x150/909102/soft_hands_non_sterile_medical_nitrile_examination_gloves_m_200s_0_0.jpg,Soft Hands Non Sterile Medical Nitrile Examination Gloves (M) 200's,"Rs. 1,296.00",Surgical
Mfr: Ramaraju Surgical Cotton Mills Ltd,https://www.netmeds.com/images/product-v1/150x150/409522/ramaraju_cotton_wool_500_gm_0.jpg,Ramaraju Cotton Wool 500 gm,Rs. 208.60,Surgical
Mfr: Omron Healthcare Co Ltd,https://www.netmeds.com/images/product-v1/150x150/859708/omron_compressor_nebulizer_ne_c101_0.jpg,Omron Compressor Nebulizer (NE-C101),"Rs. 2,399.20",Surgical
