dam_images,discount_percent,discount_price,product_image,isAvailable,mrp,product_name,product_price,product_type
https://cdn01.pharmeasy.in/dam/products_otc/M89990/loreal-paris-total-repair-5-shampoo-175ml-1.jpg,5,4.95,https://cdn01.pharmeasy.in/dam/products_otc/M89990/loreal-paris-total-repair-5-shampoo-175ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,99.00,L'oreal Paris Total Repair 5 Shampoo - 175ml,94.05,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/269320/new-hair-4u-10-spray-solu-60ml-1.jpg,20,66.00,https://d1ljlatelrv1en.cloudfront.net/Hair%204U/resized/small/e54174.jpeg,True,330.00,New Hair 4u 2% Spray Solu 60ml,264.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/I42413/hair-4u-5-spray-solution-60ml-1.jpg,20,147.20,https://cdn01.pharmeasy.in/dam/products_otc/I42413/hair-4u-5-spray-solution-60ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,736.00,New Hair 4u 5% Spray Solu 60ml,588.80,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/I47881/new-itchguard-plus-cooling-menthol-20gm-1.jpg,5,4.71,https://cdn01.pharmeasy.in/dam/products_otc/I47881/new-itchguard-plus-cooling-menthol-20gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,94.29,New Itchguard Plus Cooling Menthol 20gm,89.58,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/I47940/new-itchguard-plus-cooling-menthol-cream-12gm-1.jpg,5,3.50,https://cdn01.pharmeasy.in/dam/products_otc/I47940/new-itchguard-plus-cooling-menthol-cream-12gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,70.00,New Itchguard Plus Cooling Menthol Cream 12gm,66.50,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/I47750/new-itchguard-plus-cooling-menthol-tube-of-5gm-cream-1.jpg,5,0.75,https://cdn01.pharmeasy.in/dam/products_otc/I47750/new-itchguard-plus-cooling-menthol-tube-of-5gm-cream-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,15.00,New Itchguard Plus Cooling Menthol Tube Of 5gm Cream,14.25,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/I41948/eazol-antacid-syrup-200-ml-1.jpg,20,19.80,https://cdn01.pharmeasy.in/dam/products_otc/I41948/eazol-antacid-syrup-200-ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,99.00,Eazol Antacid Syrup 200 Ml,79.20,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/065713/elovera-cream-150gm-1.jpg,20,72.00,https://cdn01.pharmeasy.in/dam/products_otc/065713/elovera-cream-150gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,360.00,Elovera Cream 150gm,288.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/241829/elovera-cream-75gm-1.jpg,20,48.00,https://cdn01.pharmeasy.in/dam/products_otc/241829/elovera-cream-75gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,240.00,Elovera Cream 75gm,192.00,Personal Care
https://cdn01.pharmeasy.in/dam/products_otc/065719/elovera-imf-cream-50-gm-1.jpg,20,56.00,https://cdn01.pharmeasy.in/dam/products_otc/065719/elovera-imf-cream-50-gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True,280.00,Elovera Imf Cream 50 Gm,224.00,Personal Care
